License_Number,Hospital_Name,City,Year,Quarter,Licensed_Beds,Acute_Care_Medicare_Discharges,Acute_Care_Medicaid_Discharges,Acute_Care_Self_Pay_Discharges,Acute_Care_Commercial_Discharges,Acute_Care_Other_Discharges,Acute_Care_Total_Discharges,Swing_Bed_Medicare_Discharges1,Swing_Bed_Medicaid_Discharges,Swing_Bed_Self_Pay_Discharges,Swing_Bed_Commercial_Discharges,Swing_Bed_Other_Discharges,Swing_Bed_Total_Discharges,SNF_Medicare_Discharges,SNF_Medicaid_Discharges,SNF_Self_Pay_Discharges,SNF_Commercial_Discharges,SNF_Other_Discharges,SNF_Total_Discharges,Psych_Rehab_CDU_Medicare_Discharges,Psych_Rehab_CDU_Medicaid_Discharges,Psych_Rehab_CDU_Self_Pay_Discharges,Psych_Rehab_CDU_Commercial_Discharges,Psych_Rehab_CDU_Other_Discharges,Psych_Rehab_CDU_Total_Discharges,Total_Medicare_Discharges,Total_Medicaid_Discharges,Total_Self_Pay_Discharges,Total_Commercial_Discharges,Total_Other_Discharges,Total_Discharges,Acute_Care_Medicare_Patient_Days,Acute_Care_Medicaid_Patient_Days,Acute_Care_Self_Pay_Patient_Days,Acute_Care_Commercial_Patient_Days,Acute_Care_Other_Patient_Days,Acute_Care_Total_Patient_Days,Swing_Bed_Medicare_Patient_Days,Swing_Bed_Medicaid_Patient_Days,Swing_Bed_Self_Pay_Patient_Days,Swing_Bed_Commercial_Patient_Days,Swing_Bed_Other_Patient_Days,Swing_Bed_Total_Patient_Days,SNF_Medicare_Patient_Days,SNF_Medicaid_Patient_Days,SNF_Self_Pay_Patient_Days,SNF_Commercial_Patient_Days,SNF_Other_Patient_Days,SNF_Total_Patient_Days,Psych_Rehab_CDU_Medicare_Patient_Days,Psych_Rehab_CDU_Medicaid_Patient_Days,Psych_Rehab_CDU_Self_Pay_Patient_Days,Psych_Rehab_CDU_Commercial_Patient_Days,Psych_Rehab_CDU_Other_Patient_Days,Psych_Rehab_CDU_Total_Patient_Days,Total_Medicare_Patient_Days,Total_Medicaid_Patient_Days,Total_Self_Pay_Patient_Days,Total_Commercial_Patient_Days,Total_Other_Patient_Days,Total_Patient_Days,Total_Inpatient_Surgeries,Total_Births,Total_Newborn_Days,Number_of_Admissions_from_ER,Emergency_Room_Visits,Outpatient_Surgery_Visits,Observation_Visits,Home_Health_Visits,All_Other_Visits,Total_Outpatient_Visits,Acute_Medicare_Inpatient_Revenue,Acute_Medicaid_Inpatient_Revenue,Acute_Self_Pay_Inpatient_Revenue,Acute_Other_Inpatient_Revenue,Acute_Total_Inpatient_Revenue,Acute_Medicare_Outpatient_Revenue,Acute_Medicaid_Outpatient_Revenue,Acute_Self_Pay_Outpatient_Revenue,Acute_Commercial_Inpatient_Revenue,Acute_Commercial_Outpatient_Revenue,Acute_Other_Outpatient_Revenue,Acute_Total_Outpatient_Revenue,Swing_Bed_Medicare_Revenue,Swing_Bed_Medicaid_Revenue,Swing_Bed_Self_Pay_Revenue,Swing_Bed_Commercial_Revenue,Swing_Bed_Other_Revenue,Swing_Bed_Total_Revenue,SNF_Medicare_Revenue,SNF_Medicaid_Revenue,SNF_Self_Pay_Revenue,SNF_Commercial_Revenue,SNF_Other_Revenue,SNF_Total_Revenue,Psych_Rehab_CDU_Medicare_Revenue,Psych_Rehab_CDU_Medicaid_Revenue,Psych_Rehab_CDU_Self_Pay_Revenue,Psych_Rehab_CDU_Commercial_Revenue,Psych_Rehab_CDU_Other_Revenue,Psych_Rehab_DCU_Total_Revenue,Home_Health_Medicare_Revenue,Home_Health_Medicaid_Revenue,Home_Health_Self_Pay_Revenue,Home_Health_Commercial_Revenue,Home_Health_Other_Revenue,Home_Health_Total_Revenue,Total_Medicare_Revenue,Total_Medicaid_Revenue,Total_Self_Pay_Revenue,Total_Commercial_Revenue,Total_Other_Revenue,Total_Revenue,Acute_Contractuals_Medicare,Acute_Contractuals_Medicaid,Acute_Contractuals_Self_Pay,Acute_Contractuals_Commercial,Acute_Contractuals_Other,Acute_Contractuals_Total,Other_Contractuals_Medicare,Other_Contractuals_Medicaid,Other_Contractuals_Self_Pay,Other_Contractuals_Commercial,Other_Contractuals_Other,Other_Contractuals_Total,Total_Medicare_Contractuals,Total_Medicaid_Contractuals,Total_Self_Pay_Contractuals,Total_Commercial_Contractuals,Total_Other_Contractuals,Total_Contractuals,Total_Charity_Care,Facility_Payroll,Facility_Paid_Hours,Physician_Payroll,Physician_Paid_Hours,Total_Payroll,Total_Paid_Hours,Employee_Benefit_Expenses,Supply_Expenses,Depreciation_Expense,Interest_Expenses,Professional_Fee_Expense,Bad_Debts,All_Other_Expenses,Total_Operating_Expenses,Other_Operation_Revenue,Operating_Margin,Net_Non_Operating_Gains_Losses,Tax_Subsidies,Gross_Total_Margin,Gross_Accounts_Receivable_Medicare,Gross_Accounts_Receivable_Medicaid,Gross_Accounts_Receivable_Self_Pay,Gross_Accounts_Receivable_Commercial,Gross_Accounts_Receivable_Other,Total_Gross_Accounts_Receivable,Casemix Index
42,Shriners Hospitals for Children - Spokane,Spokane,2019,1,30,0,25,0,0,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,18,43,0,81,0,0,84,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,84,165,0,0,0,0,0,160,0,0,3615,3775,0,1521070,0,1173729,2694799,466,2327972,0,0,0,3840758,6169196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,3849042,0,0,5014487,8863995,466,3569107,0,0,3261671,6831244,0,0,0,0,0,0,466,3569107,0,0,3261671,6831244,96204,2171399,71340,1294622,8968,3466021,80308,893913,676993,220575,0,,0,319776,5577278,43712,0,0,0,0,466,2088844,0,0,2802386,4891696,2.1068
928,South Sound Behavioral Hospital,Lacey,2019,4,108,35,107,0,0,53,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,107,0,0,53,195,449,1013,0,0,430,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,1013,0,0,430,1892,0,0,0,0,0,0,0,0,146,146,898000,2026000,0,860000,3784000,5500,7000,0,0,0,60500,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903500,2033000,0,0,920500,3857000,776688,1608841,0,0,586704,2972233,0,0,0,0,0,0,776688,1608841,0,0,586704,2972233,1400,1654694,48138,173751,1288,1828445,49426,299272,103542,158169,0,,56799,977846,3367274,4266,0,0,0,0,685949,1803523,0,0,722610,3212082,0.6334
42,Shriners Hospitals for Children - Spokane,Spokane,2021,4,30,0,17,0,0,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,22,39,0,308,0,0,134,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,134,442,0,0,0,0,0,412,0,0,8059,8471,0,1247119,0,2076301,3323420,439,4015700,0,0,0,4931193,8947332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,5262819,0,0,7007494,12270752,186,4507938,0,0,5009148,9517272,0,0,0,0,0,0,186,4507938,0,0,5009148,9517272,13142,970011,72927,1599705,10196,2569716,83123,1112987,883997,428545,0,,0,822974,5818219,21454,0,0,0,0,0,1633342,0,0,3444740,5078082,2.1873
152,Public Hospital District No 1 of Mason County WA,Shelton,2018,1,68,208,94,0,0,58,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,94,0,0,58,360,703,233,0,0,187,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,233,0,0,187,1123,59,49,89,267,4985,231,199,0,39668,45083,7226423,2993757,0,2261227,12481407,16492373,12957400,0,0,0,11750719,41200492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23718796,15951157,0,0,14011946,53681899,13908608,9484025,0,0,5616486,29009119,0,0,0,0,0,0,13908608,9484025,0,0,5616486,29009119,756261,12168431,303531,0,0,12168431,303531,3812319,2756277,1697822,227712,,1108227,4335251,24997812,1835267,0,198475,552026,750501,12564949,5981614,0,0,11641106,30187669,0.6585
153,Whitman Hospital & Medical Clinics,Colfax,2018,1,25,0,0,0,0,113,113,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,113,136,0,0,0,0,423,423,263,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,423,686,43,12,23,101,740,238,63,0,5383,6424,1475277,221400,0,878073,2574750,3389426,1457003,0,0,0,2717130,7563559,177080,0,0,0,0,177080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5041783,1678403,0,0,3595203,10315389,1058841,812122,0,0,836109,2707072,0,0,0,0,0,0,1058841,812122,0,0,836109,2707072,22905,2578757,959209,266210,1044,2844967,960253,901743,715585,794131,93474,,16618,1795317,7145217,178570,0,44926,0,44926,1785193,628943,0,0,4015884,6430020,0.7591
155,Valley Medical Center,Renton,2018,1,321,1956,1265,0,0,1455,4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1265,0,0,1455,4676,9880,5172,0,0,4496,19548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880,5172,0,0,4496,19548,1009,771,1142,0,21781,2197,0,0,169809,193787,105935540,45271669,0,72790648,223997857,98288223,63111654,0,0,0,138551186,299951063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204223763,108383323,0,0,211341834,523948920,146393928,97603137,0,0,114258253,358255318,0,0,0,0,2391827,2391827,146393928,97603137,0,0,116650080,360647145,6805861,82430620,1520460,0,0,82430620,1520460,19058299,21739730,8020661,0,,5032321,30150384,161399694,12544738,0,2370177,0,2370177,88755618,45690480,0,0,110072460,244518558,0.87
158,Cascade Medical Center,Leavenworth,2018,1,12,16,3,0,0,0,19,19,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,1,39,50,6,0,0,0,56,412,0,0,0,3,415,0,0,0,0,0,0,0,0,0,0,0,0,462,6,0,0,3,471,0,0,0,18,760,0,6,0,21641,22407,183077,22355,0,0,205432,2073525,784911,0,0,0,1760181,4618617,1209866,0,0,0,6919,1216785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3466468,807266,0,0,1767100,6040834,699834,267505,0,0,668111,1635450,115182,0,0,0,1384,116566,815016,267505,0,0,669495,1752016,120817,1898424,63457,562217,5561,2460641,69018,565022,279372,351915,6483,,241634,572766,4236199,140809,0,0,411306,411306,2078106,414001,0,0,1710079,4202186,0.5705
42,Shriners Hospitals for Children - Spokane,Spokane,2018,2,30,0,19,0,0,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,23,42,0,112,0,0,85,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,85,197,0,0,0,0,0,231,0,0,3589,3820,0,632755,0,2344351,2977106,0,4357534,0,0,0,2918541,7276075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4990289,0,0,5262892,10253181,0,3981972,0,0,3628627,7610599,0,0,0,0,0,0,0,3981972,0,0,3628627,7610599,103828,2316550,80746,1363144,9178,3679694,89924,992459,715495,227484,0,,0,537856,6152988,38170,0,0,0,0,0,2353275,0,0,3586410,5939685,2.3075
156,Whidbey Island Public Hospital District,Coupeville,2018,1,51,277,6,0,0,210,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,6,0,0,210,493,977,9,0,0,637,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,9,0,0,637,1623,88,52,113,287,195,229,0,1838,70731,72993,8071777,1664202,0,2820093,12556072,21357907,7081002,0,0,0,24630045,53068954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891122,20811,0,0,161193,1073126,30320806,8766015,0,0,27611331,66698152,351451,416169,0,0,41236706,42004326,9303,1052,0,0,254846,265201,360754,417221,0,0,41491552,42269527,21761,11623900,458454,1208159,9800,12832059,468254,3106845,4303610,1139601,771957,,-2470733,6931727,29085799,212531,0,195879,2217675,2413554,8873789,1275493,0,0,24742429,34891711,0.7497
1,Swedish Health Services DBA Swedish Medical Cent,Seattle,2018,1,830,3402,1788,0,0,4256,9446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,1788,0,0,4256,9446,17124,11860,0,0,15551,44535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17124,11860,0,0,15551,44535,3934,2030,3139,2695,14109,3127,1606,0,124380,143222,245525501,121788916,0,251536465,618850882,168209709,60134948,0,0,0,236404379,464749036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413735210,181923864,0,0,487940844,1083599918,331226199,140458659,0,0,283382424,755067282,0,0,0,0,0,0,331226199,140458659,0,0,283382424,755067282,9584558,94015954,2110719,8693739,73597,102709693,2184316,15965743,66326832,8624597,5443222,,654526,151793858,350863945,18650858,0,0,0,0,211354030,102569207,0,0,301795144,615718381,0.9097
